game_id,date,lane,session_game,completed_time,player,nickname,f1_b1,f1_b2,f2_b1,f2_b2,f3_b1,f3_b2,f4_b1,f4_b2,f5_b1,f5_b2,f6_b1,f6_b2,f7_b1,f7_b2,f8_b1,f8_b2,f9_b1,f9_b2,f10_b1,f10_b2,f10_b3,final_score
nurl07ryllq,,19,1,,,MERLIN,9,1,9,1,0,8,0,7,9,0,8,1,8,0,1,0,0,3,0,7,,81
nurl07ryllq,,19,1,,,EDWIN,3,7,9,0,7,0,9,1,1,6,8,0,9,1,7,1,7,1,5,2,,101
ddhubxn8yhy,,19,2,,,MERLIN,0,0,0,0,10,,10,,1,9,1,5,8,0,10,,7,3,6,2,,110
ddhubxn8yhy,,19,2,,,EDWIN,7,3,7,0,6,3,10,,7,3,3,5,7,2,3,7,5,1,5,5,9,123
ddhubxn8yhy,,19,2,,,SHERW,0,4,0,3,0,0,7,0,0,4,0,4,3,4,9,1,7,0,8,0,,61
qfyr14clohs,,6,1,,,MOOO,1,5,0,7,8,1,3,0,5,1,0,8,5,3,9,0,0,7,1,5,,69
qfyr14clohs,,6,1,,,SQUA,0,0,8,0,1,6,7,0,0,9,7,0,4,3,9,0,1,0,7,0,,62
hdgblhukryi,,6,2,,,MOO,10,,4,0,0,9,9,1,5,0,7,0,8,0,1,9,7,0,9,0,,95
hdgblhukryi,,6,2,,,SQUA,3,6,9,1,0,3,7,3,8,1,7,1,3,5,0,7,1,6,7,0,,86
eqaaf8hzs,,7,1,,,EMT,3,6,8,0,6,1,4,2,3,7,0,7,9,1,6,4,8,1,9,0,,99
eqaaf8hzs,,7,1,,,SARCO,0,0,8,1,0,0,1,7,0,0,0,0,0,10,8,0,0,0,0,1,,44
h2idotvfhas,,7,2,,,EMT,7,0,9,1,3,6,0,7,7,3,0,10,9,1,7,2,8,1,8,2,0,110
h2idotvfhas,,7,2,,,SARCO,7,1,0,0,0,8,7,0,7,0,0,0,0,5,0,9,5,4,0,1,,54
kpdl9ahdotk,,2,1,,,SUS,7,0,6,3,4,6,0,0,8,0,0,5,0,8,7,0,0,0,0,8,,62
kpdl9ahdotk,,2,1,,,MUSK,6,0,10,,8,0,0,6,9,0,1,7,3,5,8,0,0,3,9,0,,83
rx3hn1aiay,,21,2,,,SUS,1,8,0,0,1,0,6,0,0,8,1,8,0,0,0,0,10,,0,0,,43
rx3hn1aiay,,21,2,,,MUSK,9,0,0,6,9,0,8,0,0,7,9,1,3,1,8,1,4,0,0,7,,76
